プレーンの使用状況 version 1.60c7r7現在

0	メダル
1	フォントグラフィック
2	フィールド
3	スプライト
4-6	フィールド背景
7	タイトルロゴ
8	タイトルの背景
9	拡大処理用の一時バッファ
10-21	背景画像
22	フォントグラフィック(小)
23	鏡像用の一時バッファ
24	フィールド背景
25	モードの説明文章
26	段位表示
27	ミラーエフェクト（TAP風）
28	アイテムのグラフィックと名前
29	block_rframe=1の時に使う白い四角形
30	暗いタイトルの背景（プログラム側で作成）
31	フォントグラフィック(大)
32-39	ブロック消去エフェクト(breaktype=2の時に使用)
40-43	普通のブロックのグラフィック
44	ミッションモード
45	ライン強制消去
46	プラチナブロックとアイテムブロックのグラフィック
47-53	花火
54	アイテムゲージ
55	回転ルール性能指標
56	TIメダル
57-63	プラチナブロックの消去エフェクト
64	ブロック（SRS-X）
65	流れ星
66-69	ミラー演出用
70	スタッフロール
71	VSモード専用背景
72	アナログフェード
73	ブロック（ARS　高解像度時のみ）
74	ブロック（オールドスタイル）
75	E-HEART最終ステージのギミック用
76	ブロック（BIG）
77	ランキングのライン
78	レーザー
79	シャッフルフィールド
80	ブロック（D.R.S）
81	文字色々
82	アイテムブロック消去エフェクト
83	擬似立体用ブロック各種
84	回転の説明用テキスト
85	フォントグラフィック（極小）
86	ゲームモードのフォント
87	ロード中に表示する画像
未使用
88以降
